time,up,down
2019-04-17 18:00:01,15,0
2019-04-17 19:00:01,14,1
2019-04-17 20:00:01,9,5
2019-04-17 21:00:01,10,5
2019-04-17 22:00:01,6,5
2019-04-17 23:00:01,7,6
2019-04-18 00:00:01,4,10
2019-04-18 01:00:01,11,13
2019-04-18 02:00:01,8,14
2019-04-18 03:00:01,5,13
2019-04-18 04:00:01,3,4
2019-04-18 05:00:01,5,5
2019-04-18 06:00:01,3,4
2019-04-18 07:00:01,4,7
2019-04-18 08:00:01,9,2
2019-04-18 09:00:01,7,6
2019-04-18 10:00:01,6,15
2019-04-18 11:00:01,5,11
2019-04-18 12:00:01,8,13
2019-04-18 13:00:01,6,12
2019-04-18 14:00:01,7,9
2019-04-18 15:00:01,15,11
2019-04-18 16:00:01,12,2
2019-04-18 17:00:01,18,4
2019-04-18 18:00:01,13,7
2019-04-18 19:00:01,14,2
2019-04-18 20:00:01,10,4
2019-04-18 21:00:01,8,4
2019-04-18 22:00:01,6,17
2019-04-18 23:00:01,6,11
2019-04-19 00:00:01,4,18
2019-04-19 01:00:01,2,8
2019-04-19 02:00:01,3,10
2019-04-19 03:00:01,10,5
2019-04-19 04:00:01,6,0
2019-04-19 05:00:01,0,1
2019-04-19 06:00:01,0,0
2019-04-19 07:00:01,0,0
2019-04-19 08:00:01,1,0
2019-04-19 09:00:01,0,3
2019-04-19 10:00:01,1,3
2019-04-19 11:00:01,0,3
2019-04-19 12:00:01,1,3
2019-04-19 13:00:01,3,3
2019-04-19 14:00:01,9,2
2019-04-19 15:00:01,15,8
2019-04-19 16:00:01,13,4
2019-04-19 17:00:01,21,3
2019-04-19 18:00:01,19,1
2019-04-19 19:00:01,13,2
2019-04-19 20:00:01,9,3
2019-04-19 21:00:01,13,6
2019-04-19 22:00:01,17,9
2019-04-19 23:00:01,4,15
2019-04-20 00:00:01,3,15
2019-04-20 01:00:01,8,19
2019-04-20 02:00:01,4,19
2019-04-20 03:00:01,9,19
2019-04-20 04:00:01,7,13
2019-04-20 05:00:01,6,7
2019-04-20 06:00:01,5,3
2019-04-20 07:00:01,4,6
2019-04-20 08:00:01,5,5
2019-04-20 09:00:01,6,3
2019-04-20 10:00:01,6,5
2019-04-20 11:00:01,4,14
2019-04-20 12:00:01,1,18
2019-04-20 13:00:01,4,22
2019-04-20 14:00:01,11,13
2019-04-20 15:00:01,9,14
2019-04-20 16:00:01,7,14
2019-04-20 17:00:01,10,7
2019-04-20 18:00:01,17,5
2019-04-20 19:00:01,16,3
2019-04-20 20:00:01,7,4
2019-04-20 21:00:01,17,2
2019-04-20 22:00:01,6,2
2019-04-20 23:00:01,6,7
2019-04-21 00:00:01,2,13
2019-04-21 01:00:01,7,13
2019-04-21 02:00:01,2,14
2019-04-21 03:00:01,4,13
2019-04-21 04:00:01,7,5
2019-04-21 05:00:01,7,5
2019-04-21 06:00:01,6,6
2019-04-21 07:00:01,6,2
2019-04-21 08:00:01,7,3
2019-04-21 09:00:01,6,2
2019-04-21 10:00:01,8,5
2019-04-21 11:00:01,6,2
2019-04-21 12:00:01,5,12
2019-04-21 13:00:01,4,9
2019-04-21 14:00:01,1,14
2019-04-21 15:00:01,7,10
2019-04-21 16:00:01,4,14
2019-04-21 17:00:01,14,13
2019-04-21 18:00:01,17,2
2019-04-21 19:00:01,16,6
2019-04-21 20:00:01,17,7
2019-04-21 21:00:01,12,7
2019-04-21 22:00:01,10,1
2019-04-21 23:00:01,7,2
2019-04-22 00:00:01,4,12
2019-04-22 01:00:01,3,12
2019-04-22 02:00:01,8,14
2019-04-22 03:00:01,5,20
2019-04-22 04:00:01,6,13
2019-04-22 05:00:01,11,4
2019-04-22 06:00:01,6,3
2019-04-22 07:00:01,10,4
2019-04-22 08:00:01,9,3
2019-04-22 09:00:01,3,0
2019-04-22 10:00:01,6,2
2019-04-22 11:00:01,4,1
2019-04-22 12:00:01,6,6
2019-04-22 13:00:01,4,15
2019-04-22 14:00:01,1,14
2019-04-22 15:00:01,3,16
2019-04-22 16:00:01,2,7
2019-04-22 17:00:01,6,10
2019-04-22 18:00:01,14,12
2019-04-22 19:00:01,7,5
2019-04-22 20:00:01,12,4
2019-04-22 21:00:01,16,4
2019-04-22 22:00:01,13,6
2019-04-22 23:00:01,9,5
2019-04-23 00:00:01,5,7
2019-04-23 01:00:01,3,8
2019-04-23 02:00:01,8,7
2019-04-23 03:00:01,4,14
2019-04-23 04:00:01,2,13
2019-04-23 05:00:01,6,5
2019-04-23 06:00:01,7,5
2019-04-23 07:00:01,1,0
2019-04-23 08:00:01,0,2
2019-04-23 09:00:01,0,1
2019-04-23 10:00:01,0,0
2019-04-23 11:00:01,0,0
2019-04-23 12:00:01,1,15
2019-04-23 13:00:01,4,7
2019-04-23 14:00:01,3,12
2019-04-23 15:00:01,3,4
2019-04-23 16:00:01,4,2
2019-04-23 17:00:01,10,1
2019-04-23 18:00:01,14,0
2019-04-23 19:00:01,17,0
2019-04-23 20:00:01,18,4
2019-04-23 21:00:01,22,2
2019-04-23 22:00:01,13,3
2019-04-23 23:00:01,3,5
2019-04-24 00:00:01,2,2
2019-04-24 01:00:01,4,12
2019-04-24 02:00:01,4,9
2019-04-24 03:00:01,4,15
2019-04-24 04:00:01,6,17
2019-04-24 05:00:01,1,3
2019-04-24 06:00:01,2,0
2019-04-24 07:00:01,2,0
2019-04-24 08:00:01,1,0
2019-04-24 09:00:01,1,1
2019-04-24 10:00:01,15,1
2019-04-24 11:00:01,12,3
2019-04-24 12:00:01,13,5
2019-04-24 13:00:01,18,11
2019-04-24 14:00:01,16,6
2019-04-24 15:00:01,6,9
2019-04-24 16:00:01,10,13
2019-04-24 17:00:01,8,21
2019-04-24 18:00:01,6,13
2019-04-24 19:00:01,8,5
2019-04-24 20:00:01,12,12
2019-04-24 21:00:01,3,8
2019-04-24 22:00:01,3,9
2019-04-24 23:00:01,5,7
2019-04-25 00:00:01,3,6
2019-04-25 01:00:01,7,6
2019-04-25 02:00:01,4,5
2019-04-25 03:00:01,4,4
2019-04-25 04:00:01,11,4
2019-04-25 05:00:01,10,2
2019-04-25 06:00:01,5,5
2019-04-25 07:00:01,9,0
2019-04-25 08:00:01,13,4
2019-04-25 09:00:01,13,1
2019-04-25 10:00:01,8,2
2019-04-25 11:00:01,2,5
2019-04-25 12:00:01,10,6
2019-04-25 13:00:01,10,8
2019-04-25 14:00:01,13,18
2019-04-25 15:00:01,8,7
2019-04-25 16:00:01,5,16
2019-04-25 17:00:01,7,14
2019-04-25 18:00:01,8,12
2019-04-25 19:00:01,10,15
2019-04-25 20:00:01,11,10
2019-04-25 21:00:01,13,8
2019-04-25 22:00:01,7,12
2019-04-25 23:00:01,3,7
2019-04-26 00:00:01,5,11
2019-04-26 01:00:01,5,12
2019-04-26 02:00:01,8,5
2019-04-26 03:00:01,3,8
2019-04-26 04:00:01,4,7
2019-04-26 05:00:01,7,18
2019-04-26 06:00:01,6,12
2019-04-26 07:00:01,2,16
2019-04-26 08:00:01,5,13
2019-04-26 09:00:01,5,15
2019-04-26 10:00:01,4,5
2019-04-26 11:00:01,13,4
2019-04-26 12:00:01,5,5
2019-04-26 13:00:01,10,0
2019-04-26 14:00:01,7,6
2019-04-26 15:00:01,13,8
2019-04-26 16:00:01,10,7
2019-04-26 17:00:01,8,10
2019-04-26 18:00:01,6,8
2019-04-26 19:00:01,11,11
2019-04-26 20:00:01,10,9
2019-04-26 21:00:01,8,7
2019-04-26 22:00:01,9,9
2019-04-26 23:00:01,6,3
2019-04-27 00:00:01,5,5
2019-04-27 01:00:01,6,1
2019-04-27 02:00:01,4,6
2019-04-27 03:00:01,2,10
2019-04-27 04:00:01,2,5
2019-04-27 05:00:01,7,8
2019-04-27 06:00:01,2,8
2019-04-27 07:00:01,4,11
2019-04-27 08:00:01,6,7
2019-04-27 09:00:01,8,8
2019-04-27 10:00:01,7,11
2019-04-27 11:00:01,14,5
2019-04-27 12:00:01,9,2
2019-04-27 13:00:01,12,8
2019-04-27 14:00:01,11,3
2019-04-27 15:00:01,6,8
2019-04-27 16:00:01,9,2
2019-04-27 17:00:01,12,7
2019-04-27 18:00:01,9,8
2019-04-27 19:00:01,14,10
2019-04-27 20:00:01,8,13
2019-04-27 21:00:01,12,6
2019-04-27 22:00:01,10,9
2019-04-27 23:00:01,12,3
2019-04-28 00:00:01,9,14
2019-04-28 01:00:01,6,3
2019-04-28 02:00:01,10,4
2019-04-28 03:00:01,11,5
2019-04-28 04:00:01,5,5
2019-04-28 05:00:01,3,14
2019-04-28 06:00:01,7,10
2019-04-28 07:00:01,8,19
2019-04-28 08:00:01,5,12
2019-04-28 09:00:01,6,10
2019-04-28 10:00:01,9,20
2019-04-28 11:00:01,6,12
2019-04-28 12:00:01,14,11
2019-04-28 13:00:01,13,3
2019-04-28 14:00:01,9,0
2019-04-28 15:00:01,2,6
2019-04-28 16:00:01,4,7
2019-04-28 17:00:01,17,1
2019-04-28 18:00:01,18,4
2019-04-28 19:00:01,8,6
2019-04-28 20:00:01,10,5
2019-04-28 21:00:01,8,16
2019-04-28 22:00:01,12,6
2019-04-28 23:00:01,7,12
2019-04-29 00:00:01,14,10
2019-04-29 01:00:01,4,6
2019-04-29 02:00:01,9,10
2019-04-29 03:00:01,10,7
2019-04-29 04:00:01,4,7
2019-04-29 05:00:01,2,2
2019-04-29 06:00:01,3,3
2019-04-29 07:00:01,3,6
2019-04-29 08:00:01,9,17
2019-04-29 09:00:01,8,7
2019-04-29 10:00:01,6,16
2019-04-29 11:00:01,3,13
2019-04-29 12:00:01,7,19
2019-04-29 13:00:01,8,8
2019-04-29 14:00:01,8,4
2019-04-29 15:00:01,15,8
2019-04-29 16:00:01,11,5
2019-04-29 17:00:01,7,5
2019-04-29 18:00:01,9,2
2019-04-29 19:00:01,11,9
2019-04-29 20:00:01,5,7
2019-04-29 21:00:01,13,8
2019-04-29 22:00:01,5,7
2019-04-29 23:00:01,4,15
2019-04-30 00:00:01,5,12
2019-04-30 01:00:01,5,8
2019-04-30 02:00:01,8,13
2019-04-30 03:00:01,10,8
2019-04-30 04:00:01,6,10
2019-04-30 05:00:01,8,5
2019-04-30 06:00:01,5,9
2019-04-30 07:00:01,9,3
2019-04-30 08:00:01,4,13
2019-04-30 09:00:01,3,14
2019-04-30 10:00:01,6,11
2019-04-30 11:00:01,3,8
2019-04-30 12:00:01,5,7
2019-04-30 13:00:01,9,13
2019-04-30 14:00:01,9,10
2019-04-30 15:00:01,13,3
2019-04-30 16:00:01,16,4
2019-04-30 17:00:01,5,4
2019-04-30 18:00:01,17,4
2019-04-30 19:00:01,10,3
2019-04-30 20:00:01,5,8
2019-04-30 21:00:01,7,4
2019-04-30 22:00:01,6,8
2019-04-30 23:00:01,5,7
