INDEX,DRMMSI,DRLATITUDE,DRLONGITUDE,DRDIRECTION,DRSPEED,DRGPSTIME,STATUS,DRTRUEHEADING,DIRECTION,SP_Status
150,244726000,31.18605167,122.5996867,249.3,13.9,1556440724,0,0,0.7,0
151,244726000,31.185585,122.5982717,248.3,14,1556440744,0,0,-1,0
152,244726000,31.18512833,122.5970067,247.5,14.1,1556440761,0,0,-0.8,0
153,244726000,31.184575,122.5954417,248.6,14.3,1556440784,0,0,1.1,0
154,244726000,31.18409,122.594,249,14.4,1556440804,0,0,0.4,0
155,244726000,31.183605,122.5927167,245.2,14.4,1556440821,0,0,-3.8,0
156,244726000,31.18302667,122.5910467,248.8,14.5,1556440845,0,0,3.6,0
157,244726000,31.18226833,122.5887767,246.7,14.6,1556440876,0,0,-2.1,0
158,244726000,31.18147833,122.586575,249,14.7,1556440905,0,0,2.3,0
159,244726000,31.18049333,122.5839383,247.5,14.8,1556440941,0,0,-1.5,0
160,244726000,31.17986667,122.5821517,248.1,14.8,1556440965,0,0,0.6,0
161,244726000,31.17908167,122.579905,247.4,15,1556440996,0,0,-0.7,0
162,244726000,31.178285,122.5776467,248.7,15.1,1556441025,0,0,1.3,0
163,244726000,31.17430167,122.5691883,241,15,1556441145,0,0,-7.7,0
164,244726000,31.17350667,122.56747,242.4,15.1,1556441169,0,0,1.4,0
165,244726000,31.17269167,122.5657583,240.4,15.1,1556441194,0,0,-2,0
166,244726000,31.172075,122.564475,240.3,15.1,1556441211,0,0,-0.1,0
167,244726000,31.171495,122.5632533,241.4,15.2,1556441229,0,0,1.1,0
168,244726000,31.17068333,122.5615333,239.9,15,1556441253,0,0,-1.5,0
169,244726000,31.17005667,122.560195,242.3,14.8,1556441271,0,0,2.4,0
170,244726000,31.16887833,122.5573467,245.2,14,1556441313,0,0,2.9,0
171,244726000,31.168105,122.55528,247.5,13.2,1556441343,0,0,2.3,0
172,244726000,31.16749833,122.5537867,245.5,12.6,1556441368,0,0,-2,0
173,244726000,31.16696167,122.552325,247.5,12.1,1556441391,0,0,2,0
174,244726000,31.16662167,122.5513167,248.5,11.8,1556441409,0,0,1,0
175,244726000,31.16625167,122.55022,248.2,11.4,1556441428,0,0,-0.3,0
176,244726000,31.16592167,122.5491867,249.9,11.1,1556441445,0,0,1.7,0
177,244726000,31.16556667,122.5482167,246.7,10.7,1556441463,0,0,-3.2,0
178,244726000,31.165115,122.546975,249.4,10.3,1556441488,0,0,2.7,0
179,244726000,31.16478833,122.5460683,248.3,10,1556441505,0,0,-1.1,0
180,244726000,31.16447167,122.5451733,248.2,9.9,1556441523,0,0,-0.1,0
181,244726000,31.164155,122.5442667,248,10.1,1556441541,0,0,-0.2,0
182,244726000,31.16380833,122.5433467,246.4,10.4,1556441559,0,0,-1.6,0
183,244726000,31.163445,122.5422717,249.6,10.8,1556441580,0,0,3.2,0
184,244726000,31.1631,122.5412033,247.8,11.1,1556441598,0,0,-1.8,0
185,244726000,31.16226,122.53889,246.1,11.5,1556441640,0,0,-1.7,0
186,244726000,31.16185833,122.53778,246.5,11.8,1556441658,0,0,0.4,0
187,244726000,31.16125333,122.53595,248.1,12.1,1556441689,0,0,1.6,0
188,244726000,31.16079,122.5346517,247.6,12.4,1556441709,0,0,-0.5,0
189,244726000,31.16029667,122.5333517,245.8,12.6,1556441730,0,0,-1.8,0
190,244726000,31.15988333,122.5322083,247.8,12.7,1556441749,0,0,2,0
191,244726000,31.15911667,122.5294367,253.3,12.9,1556441790,0,0,5.5,0
192,244726000,31.15864167,122.527495,252.7,12.9,1556441820,0,0,-0.6,0
193,244726000,31.15826167,122.5261117,252.3,12.9,1556441840,0,0,-0.4,0
194,244726000,31.15793,122.5248617,253.1,12.7,1556441859,0,0,0.8,0
195,244726000,31.15759,122.5235767,252.6,12.6,1556441880,0,0,-0.5,0
196,244726000,31.157225,122.522215,253,12.5,1556441900,0,0,0.4,0
197,244726000,31.15674667,122.5204383,253.2,12.1,1556441929,0,0,0.2,0
198,244726000,31.1564,122.5192117,251.3,11.9,1556441949,0,0,-1.9,0
199,244726000,31.15562333,122.5168383,249.2,11.3,1556441990,0,0,-2.1,0
200,244726000,31.15507667,122.51511,249.2,11,1556442020,0,0,0,0
201,244726000,31.15458333,122.5135183,251.1,10.8,1556442049,0,0,1.9,0
202,244726000,31.15428667,122.51247,251.5,10.7,1556442069,0,0,0.4,0
203,244726000,31.15396333,122.511395,250.5,10.6,1556442089,0,0,-1,0
204,244726000,31.15333,122.5092467,251.2,10.5,1556442129,0,0,0.7,0
205,244726000,31.15300833,122.5081683,250.2,10.5,1556442149,0,0,-1,0
206,244726000,31.15239167,122.5060083,253.1,10.6,1556442189,0,0,2.9,0
207,244726000,31.15189667,122.5044967,247.5,10.9,1556442219,0,0,-5.6,0
208,244726000,31.15105167,122.5031517,228,10.5,1556442246,0,0,-19.5,0
209,244726000,31.14994,122.50166,231.2,10.9,1556442279,0,0,3.2,0
210,244726000,31.14791,122.4988667,230.1,11.4,1556442339,0,0,-1.1,0
211,244726000,31.14584833,122.4959583,229.5,11.7,1556442399,0,0,-0.6,0
212,244726000,31.14414167,122.4935017,230,11.7,1556442450,0,0,0.5,0
213,244726000,31.141885,122.49002,234.9,11.4,1556442519,0,0,4.9,0
214,244726000,31.14028833,122.4876183,230.1,11.1,1556442570,0,0,-4.8,0
215,244726000,31.13971833,122.4866417,236.8,10.9,1556442590,0,0,6.7,0
216,244726000,31.13865833,122.48474,234.2,10.2,1556442630,0,0,-2.6,0
217,244726000,31.13825333,122.484075,235.9,10,1556442650,0,0,1.7,0
218,244726000,31.13648833,122.4807867,237.1,9.5,1556442719,0,0,1.2,0
219,244726000,31.13539667,122.4785617,239.8,9.2,1556442770,0,0,2.7,0
220,244726000,31.13498667,122.4777567,238.2,9.1,1556442789,0,0,-1.6,0
221,244726000,31.13421167,122.4760033,244.9,8.7,1556442830,0,0,6.7,0
222,244726000,31.13383667,122.4752283,240.6,8.5,1556442848,0,0,-4.3,0
223,244726000,31.13314,122.4736267,243,7.9,1556442890,0,0,2.4,0
224,244726000,31.13284333,122.472905,243.5,7.7,1556442909,0,0,0.5,0
225,244726000,31.13142,122.46935,251.2,6.9,1556443010,0,0,7.7,0
226,244726000,31.13004667,122.465165,248.6,6,1556443139,0,0,-2.6,0
227,244726000,31.12956333,122.4636533,250.1,5.7,1556443190,0,0,1.5,0
228,244726000,31.12910833,122.46227,251.7,5.3,1556443239,0,0,1.6,0
229,244726000,31.12898167,122.4617467,255.2,5.3,1556443259,0,0,3.5,0
230,244726000,31.1287,122.46064,252.9,5.2,1556443299,0,0,-2.3,0
231,244726000,31.12856833,122.460095,253.5,5.3,1556443319,0,0,0.6,0
232,244726000,31.12825167,122.4589583,253,5.6,1556443359,0,0,-0.5,0
