Date,Time,MMSI,SPEED,Longitude,Latitude,COG
2021-04-19,13:40:20,212054000,9.2,120.4798533,32.03626,270
2021-04-19,13:40:48,212054000,9.2,120.4784,32.0363,270
2021-04-19,13:41:10,212054000,9.2,120.4773067,32.03633,270
2021-04-19,13:41:39,212054000,9.2,120.47588,32.03638,270
2021-04-19,13:41:59,212054000,9.2,120.47476,32.03641,270
2021-04-19,13:42:20,212054000,9.1,120.4737733,32.03646,269
2021-04-19,13:42:39,212054000,9.1,120.47292,32.03655,266
2021-04-19,13:42:59,212054000,9.1,120.47184,32.03658,264
2021-04-19,13:43:20,212054000,9.1,120.4709067,32.0366,261
2021-04-19,13:43:39,212054000,9.1,120.4698933,32.03656,258
2021-04-19,13:43:59,212054000,9,120.46892,32.03648,256
2021-04-19,13:44:39,212054000,8.8,120.4670533,32.03611,259
2021-04-19,13:44:59,212054000,8.8,120.4661067,32.03595,260
2021-04-19,13:45:18,212054000,8.8,120.46524,32.0358,262
2021-04-19,13:45:39,212054000,8.9,120.46416,32.03566,262
2021-04-19,13:45:59,212054000,8.9,120.4633067,32.03558,262
2021-04-19,13:46:18,212054000,8.9,120.4623467,32.0355,262
2021-04-19,13:46:49,212054000,8.8,120.4608533,32.03541,262
2021-04-19,13:47:08,212054000,8.9,120.45996,32.03536,262
2021-04-19,13:47:29,212054000,8.9,120.45888,32.0353,262
2021-04-19,13:47:49,212054000,8.9,120.4579067,32.03526,260
2021-04-19,13:48:18,212054000,8.9,120.4565733,32.03516,260
2021-04-19,13:48:39,212054000,8.9,120.4555067,32.03511,258
2021-04-19,13:48:59,212054000,8.8,120.45456,32.03503,256
2021-04-19,13:49:18,212054000,8.8,120.4536533,32.03491,255
2021-04-19,13:49:59,212054000,8.8,120.45176,32.03463,252
2021-04-19,13:50:28,212054000,8.7,120.4503867,32.03431,250
2021-04-19,13:50:49,212054000,8.7,120.4494,32.03405,250
2021-04-19,13:51:08,212054000,8.8,120.44848,32.03381,250
